"Nairobi, Muthaiga, Muthaiga Road"
"Nairobi, South C, Muhoho Avenue"
"Nairobi, South B, Plainsview Road"
"Nairobi, Kasarani, Mwiki Road"
"Nairobi, Embakasi, Airport North Road"
"Nairobi, Eastleigh, General Waruinge Street"
"Nairobi, Roysambu, Lumumba Drive"
"Nairobi, Umoja, Moi Drive"
"Nairobi, Buruburu, Mumias South Road"
"Nairobi, Donholm, Outer Ring Road"
"Nairobi, Ngara, Muranga Road"
"Nairobi, Upper Hill, Ralph Bunche Road"
"Nairobi, Industrial Area, Enterprise Road"
"Nairobi, Pangani, Ring Road"
"Nairobi, Riverside, Riverside Drive"
"Nairobi, Hurlingham, Argwings Kodhek Road"
"Nairobi, Spring Valley, Lower Kabete Road"
"Nairobi, Thika Road, TRM Drive"
"Nairobi, Juja, Juja Road"
"Nairobi, Ruiru, Ruiru Bypass"
"Nairobi, Kahawa, Kamiti Road"
"Nairobi, Dagoretti, Kikuyu Road"
"Nairobi, Githurai, Githurai Road"
"Nairobi, Zimmerman, Kamiti Road"
"Nairobi, Ruaka, Limuru Road"
"Nairobi, Syokimau, Mombasa Road"
"Nairobi, Athi River, Nairobi-Mombasa Road"
"Nairobi, Kitengela, Namanga Road"
"Nairobi, Rongai, Magadi Road"
"Nairobi, Ngong, Ngong Road"
"Nairobi, Kiserian, Kiserian-Isinya Road"
"Nairobi, Kiambu, Kiambu Road"
"Nairobi, Thindigua, Kiambu Road"
"Nairobi, Kahawa Sukari, Sukari Lane"
"Nairobi, Kamakis, Eastern Bypass"
"Nairobi, Ruai, Kangundo Road"
"Nairobi, Mlolongo, Nairobi-Mombasa Road"
"Nairobi, Loresho, Loresho Ridge"
"Nairobi, Kitisuru, Kitisuru Road"
"Nairobi, Kyuna, Kyuna Crescent"
"Nairobi, Muguga Green, Muguga Road"
"Nairobi, Ridgeways, Ridgeways Road"
"Nairobi, Garden Estate, Garden Estate Road"
"Nairobi, Mountain View, Waiyaki Way"
"Nairobi, Kinoo, Kikuyu Road"
"Nairobi, Uthiru, Waiyaki Way"
"Nairobi, Waiyaki Way, Kangemi"
"Nairobi, Kangemi, Sodom Road"
"Nairobi, Zambezi, Nairobi-Nakuru Highway"
"Nairobi, Mlolongo, Syokimau Road"
"Nairobi, Imara Daima, Mombasa Road"
"Nairobi, Pipeline, Outering Road"
"Nairobi, Tassia, Outering Road"
"Nairobi, Utawala, Eastern Bypass"
"Nairobi, Mihango, Kangundo Road"
"Nairobi, Kasarani, Thika Road"
"Nairobi, Roysambu, Roysambu Roundabout"
"Nairobi, Mwiki, Mwiki Road"
"Nairobi, Ruai, Ruai Center"
"Nairobi, Kariobangi, Juja"
""
